section,artist_id,artist_name,artist_name_eng,introduction,photo,instagram,twitter,youtube,song_id,song_title,singer,youtube_link,song_date,role,is_highlight,display_order,media_title,video_date,performance_id,performance_title,performance_date,category,directing_id,directing_title,directing_date,class_name,class_role,country,class_date,issuing_org,award_title,received_date
choreography,artist_yumeki,,,,,,,,song_032,Last Festival (마지막 축제),TWS,,2024-11-25,Choreographer,FALSE,32,,,,,,,,,,,,,,,,
choreography,artist_yumeki,,,,,,,,song_033,NOW OR NEVER,ZEROBASEONE,,2024-11-01,Choreographer,FALSE,33,,,,,,,,,,,,,,,,
choreography,artist_yumeki,,,,,,,,song_034,N.I.N (New is Now),NouerA,,2024-11-01,Choreographer,FALSE,34,,,,,,,,,,,,,,,,
choreography,artist_yumeki,,,,,,,,song_035,n (number of cases),NouerA,,2024-11-01,Choreographer,FALSE,35,,,,,,,,,,,,,,,,
choreography,artist_yumeki,,,,,,,,song_036,MUSE,ME:I,,2024-11-01,Choreographer,FALSE,36,,,,,,,,,,,,,,,,
choreography,artist_yumeki,,,,,,,,song_037,I Like You,ODD YOUTH,,2024-11-01,Choreographer,FALSE,37,,,,,,,,,,,,,,,,
choreography,artist_yumeki,,,,,,,,song_038,Hey! Hey!,TWS,,2024-06-05,Choreographer,FALSE,38,,,,,,,,,,,,,,,,
choreography,artist_yumeki,,,,,,,,song_039,Jellyous,ILLIT,,2024-11-01,Choreographer,FALSE,39,,,,,,,,,,,,,,,,
choreography,artist_yumeki,,,,,,,,song_040,Love Language,TOMORROW X TOGETHER,,2024-11-04,Choreographer,FALSE,40,,,,,,,,,,,,,,,,
choreography,artist_yumeki,,,,,,,,song_041,YOU ARE SPECiAL,LiKE LEGEND,,2024-11-01,Choreographer,FALSE,41,,,,,,,,,,,,,,,,
choreography,artist_yumeki,,,,,,,,song_042,oops!,ILLIT,,2024-11-01,Choreographer,FALSE,42,,,,,,,,,,,,,,,,
media,artist_yumeki,,,,,,,,,,,https://www.youtube.com/watch?v=example1,,,TRUE,1,[Backup Dancer] Baekhyun - Candy,2020-05-25,,,,,,,,,,,,,,
media,artist_yumeki,,,,,,,,,,,https://www.youtube.com/watch?v=example2,,,FALSE,2,[Backup Dancer] Taemin - IDEA,2020-11-09,,,,,,,,,,,,,,
media,artist_yumeki,,,,,,,,,,,https://www.youtube.com/watch?v=example3,,,FALSE,3,[Backup Dancer] SHINee - Don't Call Me,2021-02-22,,,,,,,,,,,,,,
media,artist_yumeki,,,,,,,,,,,https://www.youtube.com/watch?v=example4,,,FALSE,4,[Backup Dancer] EXO - DON'T FIGHT THE FEELING,2021-06-07,,,,,,,,,,,,,,
media,artist_yumeki,,,,,,,,,,,https://www.youtube.com/watch?v=example5,,,FALSE,5,[Backup Dancer] KEY - BAD LOVE,2021-09-27,,,,,,,,,,,,,,
media,artist_yumeki,,,,,,,,,,,https://www.youtube.com/watch?v=example6,,,FALSE,6,[Backup Dancer] NewJeans - Supernatural,2024-07-26,,,,,,,,,,,,,,
media,artist_yumeki,,,,,,,,,,,https://www.youtube.com/watch?v=example7,,,TRUE,7,[Interview] What's Up with Yumeki (1MILLION),2020-07-04,,,,,,,,,,,,,,
media,artist_yumeki,,,,,,,,,,,https://www.youtube.com/watch?v=example8,,,TRUE,8,[SMF] YUMEKI Battle - Underdog (Mnet),2022-08-30,,,,,,,,,,,,,,
media,artist_yumeki,,,,,,,,,,,https://www.youtube.com/watch?v=example9,,,FALSE,9,[SMF] 1MILLION Mega Crew Mission,2022-09-21,,,,,,,,,,,,,,
media,artist_yumeki,,,,,,,,,,,https://www.youtube.com/watch?v=example10,,,FALSE,10,[SMF] Muse of SMF Mission,2022-10-21,,,,,,,,,,,,,,
media,artist_yumeki,,,,,,,,,,,https://www.youtube.com/watch?v=example11,,,FALSE,11,ONF U 'NIGHT FLIGHT' With Yumeki (Station Z),2023-03-20,,,,,,,,,,,,,,
performance,artist_yumeki,,,,,,,,,,,,,,,,,,perf_001,Street Man Fighter,2022-08-23,참가 (1MILLION Crew),,,,,,,,,,
performance,artist_yumeki,,,,,,,,,,,,,,,,,,perf_002,PRODUCE 101 JAPAN THE GIRLS,2023-10-05,Trainer (Dance),,,,,,,,,,
performance,artist_yumeki,,,,,,,,,,,,,,,,,,perf_003,Boys Planet 2,2025-07-17,참가 (Contestant - Rank 11),,,,,,,,,,
directing,artist_yumeki,,,,,,,,,,,,,,,,,,,,,,dir_001,ME:I Performance Directing,2024-03-27,,,,,,,
directing,artist_yumeki,,,,,,,,,,,,,,,,,,,,,,dir_002,ONE OR EIGHT Performance Directing,2024-01-01,,,,,,,
workshop,artist_yumeki,,,,,,,,,,,,,,,,,,,,,,,,,1MILLION Dance Studio,Instructor (2020-2023),South Korea,2020-05-01,,,
workshop,artist_yumeki,,,,,,,,,,,,,,,,,,,,,,,,,Lead Entertainment Workshop,Instructor,Japan,2025-02-23,,,
workshop,artist_yumeki,,,,,,,,,,,,,,,,,,,,,,,,,China Dance Workshop (Kinjaz Studio),Instructor,China,2019-01-01,,,
award,artist_yumeki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Street Man Fighter,Global K-Dance Mission Winner,2022-09-20
award,artist_yumeki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Boys Planet 2,Final Rank 11 (Debut Candidate),2025-09-25
